gene,community,degree,betweenness,closeness,combined_score
NID2,0,0.012345679012345678,0.0,0.19950738916256158,0.07061768939163575
COL4A2,0,0.037037037037037035,0.024691358024691357,0.24846625766871167,0.10339821757681335
PROCR,1,0.04938271604938271,0.0143220835624773,0.3537117903930131,0.1391388633349577
ICAM1,1,0.12345679012345678,0.07870827331651181,0.40703517587939697,0.20306674643978853
CAV1,1,0.13580246913580246,0.38238064525646237,0.41116751269035534,0.3097835423608734
F2,2,0.20987654320987653,0.07879093301120939,0.37327188940092165,0.22064645520733586
CD36,1,0.1111111111111111,0.04307137959900367,0.39901477832512317,0.18439908967841265
LBP,1,0.024691358024691357,0.0,0.3127413127413127,0.11247755692200136
HP,1,0.14814814814814814,0.04560435916976697,0.36486486486486486,0.18620579072759333
IL6,1,0.18518518518518517,0.19269813688834705,0.421875,0.2665861073578441
F9,2,0.07407407407407407,0.0030386648673685714,0.29454545454545455,0.1238860644956324
MBL2,4,0.08641975308641975,0.037870121676828045,0.30451127819548873,0.14293371765291218
F5,2,0.07407407407407407,0.0018419888531544303,0.2956204379562044,0.12384550029447765
KNG1,2,0.1728395061728395,0.032284758999281245,0.34615384615384615,0.18375937044198895
VWF,2,0.19753086419753085,0.08058968153605424,0.3632286995515695,0.2137830817617182
F11,2,0.06172839506172839,0.0004221280262946929,0.2892857142857143,0.11714541245791248
PON1,5,0.09876543209876543,0.003496840094062317,0.3319672131147541,0.14474316176919394
SAA4,5,0.08641975308641975,0.04876543209876543,0.31640625,0.15053047839506173
LPA,5,0.13580246913580246,0.025789519578722095,0.34763948497854075,0.1697438245643551
APOC2,5,0.08641975308641975,0.0010041887125220457,0.3253012048192771,0.13757504887273964
APOC4,5,0.08641975308641975,0.0010041887125220457,0.3253012048192771,0.13757504887273964
PLA2G7,5,0.07407407407407407,0.0,0.32142857142857145,0.1318342151675485
APOC1,5,0.09876543209876543,0.003496840094062317,0.3319672131147541,0.14474316176919394
APOE,5,0.24691358024691357,0.3307782000107314,0.44021739130434784,0.33930305718733095
VTN,2,0.16049382716049382,0.05334991659067929,0.37327188940092165,0.19570521105069827
FGA,2,0.14814814814814814,0.017648403606438243,0.36160714285714285,0.17580123153724306
FGG,2,0.13580246913580246,0.0021971136526358257,0.313953488372093,0.1506510237201771
HPX,2,0.1111111111111111,0.0036494121911008204,0.3103448275862069,0.14170178362947294
HRG,2,0.1111111111111111,0.00103240295369925,0.30798479087452474,0.1400427683131117
AHSG,2,0.16049382716049382,0.02948869715112951,0.3176470588235294,0.1692098610450509
ITGA4,0,0.06172839506172839,0.07222222222222222,0.3253012048192771,0.1530839407010759
CFH,4,0.12345679012345678,0.0649233318575639,0.36160714285714285,0.18332908827938785
PLG,2,0.13580246913580246,0.0031220835427473274,0.3103448275862069,0.14975646008825225
PLAUR,1,0.04938271604938271,0.0030113902149445744,0.32926829268292684,0.1272207996490847
MYL2,6,0.037037037037037035,0.025771604938271603,0.20984455958549222,0.09088440052026696
CASQ2,6,0.024691358024691357,0.04259259259259259,0.25077399380804954,0.10601931480844451
NKX2-5,6,0.06172839506172839,0.030401234567901236,0.21372031662269128,0.10194998208410698
TTN,6,0.012345679012345678,0.0,0.17381974248927037,0.06205514050053868
FGB,2,0.13580246913580246,0.003579531212885629,0.3176470588235294,0.1523430197240725
LRP1,1,0.09876543209876543,0.03319415585458965,0.35064935064935066,0.1608696462009019
SIRPA,1,0.037037037037037035,0.001318889695796014,0.30223880597014924,0.11353157756766076
HSP90B1,1,0.04938271604938271,0.0054745334347730875,0.3537117903930131,0.13618967995905631
IRF1,1,0.012345679012345678,0.0,0.23142857142857143,0.0812580834803057
IFNAR1,1,0.024691358024691357,0.024691358024691357,0.3,0.11646090534979424
CFB,4,0.024691358024691357,0.0,0.3201581027667984,0.11494982026382992
FTO,3,0.06172839506172839,0.09426040830588765,0.32142857142857145,0.1591391249320625
NOS3,1,0.08641975308641975,0.03341474691692555,0.39705882352941174,0.17229777451091902
FCGR2A,1,0.024691358024691357,0.0009859972795702642,0.27181208053691275,0.09916314528039145
ADAMTS13,4,0.037037037037037035,0.0007423037706262107,0.30111524163568776,0.11296486081445034
SCN5A,6,0.08641975308641975,0.28194444444444444,0.3253012048192771,0.23122180078338042
PDGFRB,1,0.012345679012345678,0.0,0.2977941176470588,0.1033799322198015
FCGR3A,1,0.07407407407407407,0.032859320642259535,0.3151750972762646,0.1407028306641994
ACP1,5,0.024691358024691357,0.0,0.2417910447761194,0.08882746760027026
SAA2-SAA4,5,0.024691358024691357,0.0,0.2417910447761194,0.08882746760027026
ITIH1,2,0.012345679012345678,0.0,0.2417910447761194,0.08471224126282169
KCNE2,6,0.037037037037037035,0.00015432098765432098,0.24770642201834864,0.09496592668101334
SCN1B,6,0.037037037037037035,0.00015432098765432098,0.24770642201834864,0.09496592668101334
KCNJ5,6,0.024691358024691357,0.0,0.24695121951219512,0.09054752584562882
PCSK1,3,0.012345679012345678,0.0,0.24397590361445784,0.08544052754226783
TBX5,6,0.06172839506172839,0.12932098765432098,0.2621359223300971,0.15106176834871549
HEY2,6,0.024691358024691357,0.0,0.21038961038961038,0.07836032280476725
PITX2,3,0.024691358024691357,0.012499999999999999,0.21485411140583555,0.08401515647684231
MYOCD,6,0.037037037037037035,0.024691358024691357,0.21148825065274152,0.09107221523815663
ZFPM2,6,0.012345679012345678,0.0,0.17647058823529413,0.06293875574921327
SCN10A,6,0.024691358024691357,0.0,0.24695121951219512,0.09054752584562882
PHACTR1,6,0.012345679012345678,0.0,0.17494600431965443,0.0624305611106667
LEPR,3,0.024691358024691357,0.0067038885325922375,0.3103448275862069,0.11391335804783016
DAG1,1,0.012345679012345678,0.0,0.2924187725631769,0.10158815052517418
KCNN3,3,0.024691358024691357,0.043283315973947786,0.30111524163568776,0.12302997187810898
ESR2,1,0.012345679012345678,0.0,0.2924187725631769,0.10158815052517418
CLEC12A,4,0.012345679012345678,0.0,0.19285714285714287,0.06840094062316285
COLEC11,4,0.04938271604938271,0.024691358024691357,0.23823529411764705,0.1041031227305737
COL6A1,0,0.024691358024691357,0.0,0.24770642201834864,0.09079926001434667
C1S,4,0.06172839506172839,0.012967357724982994,0.2872340425531915,0.12064326511330097
C1R,4,0.04938271604938271,0.005101583843413906,0.2755102040816326,0.10999816799147642
SIGLEC9,1,0.012345679012345678,0.0,0.2403560830860534,0.08423392069946638
IL6R,1,0.012345679012345678,0.0,0.2977941176470588,0.1033799322198015
CDKN1A,3,0.024691358024691357,0.008788947677836566,0.20558375634517767,0.07968802068256853
ZFHX3,3,0.037037037037037035,0.03582446823732227,0.24923076923076923,0.10736409150170952
CDKN2A,3,0.037037037037037035,0.010618800428168622,0.2131578947368421,0.08693791073401591
IGF2BP2,3,0.037037037037037035,0.013003403741421171,0.25077399380804954,0.10027147819550258
TCF7L2,3,0.037037037037037035,0.013003403741421171,0.25077399380804954,0.10027147819550258
